-9,79,15
-11,90,15
-11,91,13
-2,76,-2
3,70,-9
3,66,-5
-1,62,8
-2,55,14
-4,42,15
-5,36,10
-4,31,6
-4,31,9
-6,42,13
-7,53,16
-8,69,22
-5,72,22
-4,77,20
3,90,23
7,92,23
13,91,25
19,87,22
36,67,18
27,58,19
10,58,13
2,55,9
1,40,12
3,31,16
0,25,13
-2,31,15
-3,37,18
-3,56,20
-2,67,20
1,86,14
3,86,12
-4,80,11
-7,80,14
-9,83,19
-10,84,14
-4,79,-16
4,71,-21
1,67,-16
6,63,3
7,56,11
6,44,13
4,39,9
-2,34,8
-2,35,9
-3,43,10
-1,50,12
-1,68,17
-6,78,11
-5,86,11
14,94,21
17,97,28
20,97,24
27,85,15
36,58,11
31,51,17
15,56,18
9,56,16
5,43,16
-2,27,19
-3,25,18
-6,27,14
-6,31,13
-5,52,15
-4,63,18
0,86,22
7,92,25
9,81,34
1,84,29
0,86,22
8,78,6
9,73,-3
5,69,-15
3,69,-14
6,60,7
7,51,19
7,38,24
3,35,18
-2,34,7
-2,36,8
-2,48,13
-4,61,18
-2,67,19
3,80,15
4,84,17
11,97,26
11,98,29
18,83,22
23,72,14
26,56,12
22,53,20
12,55,22
10,44,14
7,36,13
-2,28,7
-5,28,4
-5,34,10
-4,40,17
4,63,22
6,73,23
2,84,22
0,83,20
-1,80,22
-5,90,16
1,91,13
3,81,-7
4,74,-11
-1,70,-9
2,68,-3
8,54,16
10,46,21
7,35,18
2,34,14
-3,34,8
-8,46,16
-6,54,17
0,72,16
1,77,18
-2,79,23
-2,83,22
2,85,26
3,87,29
15,83,22
24,73,16
23,53,20
16,55,31
10,56,31
4,46,26
2,39,23
-3,36,11
-4,34,8
-13,36,12
-8,40,15
-4,53,23
-1,62,25
0,71,28
-2,73,28
-4,75,26
-8,88,25
-5,89,23
3,76,7
2,71,-1
3,74,-6
6,72,1
10,57,23
9,50,28
1,38,24
-3,34,7
-4,36,2
-5,41,8
-4,47,11
-3,68,13
-4,76,17
-4,80,29
1,84,33
8,89,32
6,90,30
6,82,19
22,64,15
17,54,19
5,53,31
4,54,28
-2,46,16
-6,39,11
-4,33,9
-8,33,9
-15,37,13
-14,44,16
-8,57,23
-10,72,21
-12,75,21
-16,79,20
-17,80,21
-11,89,24
-1,86,18
-3,75,-4
-4,75,-11
-9,77,-9
-5,73,5
-5,58,23
1,39,20
-1,35,15
-10,30,3
-11,32,1
-11,46,9
-12,54,13
-16,66,13
-20,70,11
-16,76,18
-10,83,23
-2,91,28
2,83,24
8,73,23
14,57,19
10,53,16
1,54,13
5,53,15
12,46,22
11,42,24
12,39,22
6,37,21
3,38,23
6,51,21
9,58,23
11,70,22
11,72,22
11,76,27
8,77,31
5,89,24
7,88,18
10,73,10
8,68,5
9,71,-1
14,62,8
16,53,17
18,40,26
15,38,24
4,37,14
-1,37,10
-1,44,13
1,49,19
7,63,21
10,68,22
13,70,28
16,86,32
13,91,33
20,96,25
27,83,20
27,54,27
18,51,28
5,57,17
2,55,13
3,40,10
0,35,11
-6,33,12
-7,38,16
-6,42,19
0,56,21
1,59,22
1,66,23
-1,68,21
-5,74,18
-8,86,17
10,95,19
14,90,15
11,86,0
7,78,0
8,71,10
9,52,19
8,43,18
0,31,9
-3,29,5
-3,31,3
-3,37,6
0,51,14
2,59,15
7,76,15
6,79,19
7,91,29
9,99,26
15,94,23
32,69,19
26,61,21
18,56,25
9,59,20
8,52,14
7,45,15
0,35,13
-4,34,10
-4,36,10
1,41,19
3,48,20
0,64,18
-1,70,17
-2,81,19
0,88,22
11,93,26
19,85,23
7,84,-1
10,83,-5
2,79,-2
4,61,13
7,53,19
5,37,20
0,32,15
-5,27,5
-6,28,5
-6,35,9
-5,40,12
-2,54,18
-3,57,19
-10,66,18
-4,77,29
0,82,31
-26,102,31
-28,96,36
-2,95,24
14,81,28
20,54,46
4,51,38
-13,45,11
-14,43,2
-10,42,3
-5,45,15
-1,48,18
-2,53,17
-7,53,17
-14,56,18
-16,70,13
-3,95,5
4,96,3
4,92,3
5,86,11
3,69,23
4,46,19
3,36,16
1,27,14
1,30,13
3,40,14
3,47,16
5,66,16
2,72,17
4,92,25
4,99,29
10,92,34
20,75,21
24,65,23
15,60,34
11,58,31
3,45,15
0,37,12
-5,29,11
-6,29,10
-4,34,16
-3,39,20
-3,55,22
-5,71,27
-5,79,27
-3,86,30
-2,88,32
0,86,27
4,79,23
2,75,4
2,72,-2
-2,67,-3
0,62,3
4,47,21
5,36,21
4,34,15
-1,34,8
-3,36,10
-6,48,23
-7,57,27
-7,71,24
-7,73,22
-10,81,24
0,96,31
1,96,34
17,82,27
29,69,20
22,45,26
12,46,27
0,54,16
0,52,11
1,40,13
-3,36,13
-7,36,11
-7,38,14
-3,49,21
5,59,22
6,61,24
0,70,22
-4,73,20
-8,78,21
-8,86,21
-2,85,19
-6,84,5
0,84,-17
2,81,-16
3,69,-2
4,51,21
6,42,26
5,33,16
2,31,9
-2,34,3
-4,38,7
-5,54,15
-1,62,18
0,76,17
2,83,17
6,92,29
15,96,31
13,93,26
23,77,10
28,64,10
22,49,22
16,54,21
4,53,12
3,47,11
0,35,12
-2,33,11
-4,37,9
-1,43,15
1,51,18
4,69,17
3,75,16
0,78,19
-1,77,23
0,88,24
-1,88,19
3,86,5
4,82,-4
8,73,-9
12,62,5
12,55,14
9,44,25
8,40,23
2,37,11
1,37,9
1,43,14
0,49,17
4,61,21
6,68,20
6,71,21
7,88,26
7,94,27
12,87,31
23,79,28
27,60,24
21,56,27
7,59,21
5,55,18
1,40,11
-1,35,9
-5,34,9
-6,34,14
-5,37,17
-2,51,20
0,58,23
0,73,24
0,76,24
0,81,31
0,89,29
8,88,25
12,83,21
9,79,2
7,72,-1
10,64,7
9,45,25
9,39,26
4,35,13
2,35,8
0,36,12
